<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.01	04:28:00	76495.77	76604.69	76464.46	76598.07	30	0	2633
2025.09.01	04:29:00	76580.51	76690.39	76580.51	76653.54	30	0	2633
2025.09.01	04:30:00	76665.38	76743.76	76665.38	76712.12	30	0	2633
2025.09.01	04:31:00	76701.97	76701.97	76616.95	76643.64	30	0	2633
2025.09.01	04:32:00	76639.14	76666.69	76552.71	76552.71	30	0	2633
2025.09.01	04:33:00	76554.69	76594.53	76495.86	76495.90	30	0	2633
2025.09.01	04:34:00	76500.20	76518.52	76406.59	76431.90	30	0	2633
2025.09.01	04:35:00	76419.86	76481.31	76419.86	76441.82	30	0	2633
2025.09.01	04:36:00	76448.22	76455.70	76298.62	76302.92	30	0	2633
2025.09.01	04:37:00	76298.16	76317.06	76118.65	76153.20	30	0	2633
2025.09.01	04:38:00	76131.75	76240.46	76131.75	76220.63	30	0	2633
2025.09.01	04:39:00	76227.18	76239.34	76129.12	76144.00	30	0	2633
2025.09.01	04:40:00	76146.79	76210.38	76124.24	76148.35	30	0	2633
2025.09.01	04:41:00	76143.34	76152.52	75978.01	75978.01	30	0	2633
2025.09.01	04:42:00	75981.27	76034.63	75976.09	75981.44	30	0	2633
2025.09.01	04:43:00	75968.84	75994.98	75912.04	75914.77	30	0	2633
2025.09.01	04:44:00	75932.23	75943.68	75850.38	75895.70	30	0	2633
2025.09.01	04:45:00	75892.86	75973.15	75892.86	75940.98	30	0	2633
2025.09.01	04:46:00	75944.56	75944.56	75794.14	75794.14	30	0	2633
2025.09.01	04:47:00	75803.87	75803.87	75737.58	75777.43	30	0	2633
2025.09.01	04:48:00	75777.30	75868.01	75777.30	75868.01	29	0	2633
2025.09.01	04:49:00	75823.61	75838.69	75705.10	75705.10	30	0	2633
2025.09.01	04:50:00	75696.92	75709.67	75558.70	75558.70	30	0	2633
2025.09.01	04:51:00	75538.74	75546.39	75456.98	75502.86	30	0	2633
2025.09.01	04:52:00	75493.34	75513.62	75438.57	75455.01	30	0	2633
