timestamp,strategy,zone_type,zone_price,trend,reason
2025-09-26T22:47:00.442466,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:47:00.446022,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:48:00.477230,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:48:00.480194,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:49:00.427671,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:49:00.430672,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:50:01.214928,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:50:01.214928,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:51:07.058364,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:51:07.060360,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:52:03.697327,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:52:03.697327,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:53:00.402418,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:53:00.402418,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:54:00.355972,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:54:00.355972,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:55:00.406890,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:55:00.409894,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:56:00.579677,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:57:00.449592,aggressive,demand,70519.31,downtrend,score below threshold (FAST)
2025-09-26T22:57:00.449592,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:58:00.409589,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T22:59:01.725813,aggressive,supply,71110.97,downtrend,score below threshold (FAST)
2025-09-26T23:12:00.381978,aggressive,supply,70996.78,downtrend,score below threshold (FAST)
2025-09-26T23:14:00.334169,aggressive,supply,70996.78,downtrend,score below threshold (FAST)
2025-09-26T23:15:00.410560,aggressive,supply,70996.78,downtrend,score below threshold (FAST)
2025-09-26T23:16:00.404519,aggressive,supply,70996.78,downtrend,score below threshold (FAST)
2025-09-26T23:17:00.301991,aggressive,supply,70996.78,downtrend,score below threshold (FAST)
2025-09-26T23:18:00.372352,aggressive,supply,70996.78,downtrend,score below threshold (FAST)
2025-09-27T00:05:00.268582,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:06:00.343176,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:07:00.437679,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:08:00.363314,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:09:00.363621,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:10:00.343032,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:11:00.325790,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:12:00.304421,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:13:00.303122,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:14:00.381296,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:15:00.403492,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:16:00.313024,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:17:00.317121,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:17:00.317121,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:18:00.336947,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:18:00.336947,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:19:00.343716,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:19:00.343716,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:20:00.286298,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:20:00.286298,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:21:00.353536,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:21:00.361420,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:22:00.326711,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:22:00.342402,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:23:00.316412,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:23:00.320648,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:24:00.307395,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:24:00.311440,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:24:00.314549,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:25:00.342364,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:25:00.342364,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:25:00.352305,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:26:00.348837,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:26:00.364567,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:26:00.370398,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:27:00.337775,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:27:00.353415,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:28:00.353895,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:29:00.348618,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:29:00.348618,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:29:00.348618,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:30:00.434628,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:31:00.321662,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:31:00.321662,aggressive,demand,69535.73,downtrend,score below threshold (FAST)
2025-09-27T00:31:00.327491,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:32:00.315381,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:33:00.306649,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:34:00.294787,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:35:00.340511,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:36:00.304928,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:37:00.452332,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:38:00.361201,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:39:00.351717,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:40:00.391525,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:40:00.407240,aggressive,supply,70046.15,downtrend,score below threshold (FAST)
2025-09-27T00:41:00.406680,trend_follow,demand,69386.01,downtrend,trend mismatch
2025-09-27T00:42:00.309109,trend_follow,demand,69386.01,downtrend,trend mismatch
